"cell_id","species_richness","total_records","n_families","n_genera","n_orders","sampling_effort"
175,0,0,0,0,0,"Unsampled"
176,0,0,0,0,0,"Unsampled"
177,0,0,0,0,0,"Unsampled"
178,0,0,0,0,0,"Unsampled"
179,0,0,0,0,0,"Unsampled"
180,0,0,0,0,0,"Unsampled"
181,0,0,0,0,0,"Unsampled"
182,0,0,0,0,0,"Unsampled"
183,0,0,0,0,0,"Unsampled"
184,0,0,0,0,0,"Unsampled"
202,0,0,0,0,0,"Unsampled"
203,0,0,0,0,0,"Unsampled"
204,0,0,0,0,0,"Unsampled"
205,0,0,0,0,0,"Unsampled"
206,0,0,0,0,0,"Unsampled"
207,0,0,0,0,0,"Unsampled"
208,0,0,0,0,0,"Unsampled"
209,0,0,0,0,0,"Unsampled"
210,0,0,0,0,0,"Unsampled"
211,0,0,0,0,0,"Unsampled"
212,0,0,0,0,0,"Unsampled"
213,1,1,1,1,1,"Low"
214,0,0,0,0,0,"Unsampled"
215,0,0,0,0,0,"Unsampled"
216,0,0,0,0,0,"Unsampled"
235,0,0,0,0,0,"Unsampled"
236,0,0,0,0,0,"Unsampled"
237,0,0,0,0,0,"Unsampled"
238,0,0,0,0,0,"Unsampled"
239,0,0,0,0,0,"Unsampled"
240,0,0,0,0,0,"Unsampled"
241,0,0,0,0,0,"Unsampled"
242,0,0,0,0,0,"Unsampled"
243,0,0,0,0,0,"Unsampled"
244,0,0,0,0,0,"Unsampled"
245,44,45,18,37,7,"Medium"
246,100,138,46,74,20,"High"
247,18,20,15,18,14,"Medium"
248,0,0,0,0,0,"Unsampled"
249,0,0,0,0,0,"Unsampled"
250,0,0,0,0,0,"Unsampled"
251,0,0,0,0,0,"Unsampled"
252,0,0,0,0,0,"Unsampled"
268,0,0,0,0,0,"Unsampled"
269,0,0,0,0,0,"Unsampled"
270,0,0,0,0,0,"Unsampled"
271,0,0,0,0,0,"Unsampled"
272,0,0,0,0,0,"Unsampled"
273,0,0,0,0,0,"Unsampled"
274,0,0,0,0,0,"Unsampled"
275,0,0,0,0,0,"Unsampled"
276,0,0,0,0,0,"Unsampled"
277,0,0,0,0,0,"Unsampled"
278,0,0,0,0,0,"Unsampled"
279,0,0,0,0,0,"Unsampled"
280,0,0,0,0,0,"Unsampled"
281,0,0,0,0,0,"Unsampled"
282,5,6,5,5,1,"Low"
283,0,0,0,0,0,"Unsampled"
284,0,0,0,0,0,"Unsampled"
285,0,0,0,0,0,"Unsampled"
286,0,0,0,0,0,"Unsampled"
287,0,0,0,0,0,"Unsampled"
299,0,0,0,0,0,"Unsampled"
300,0,0,0,0,0,"Unsampled"
301,0,0,0,0,0,"Unsampled"
302,0,0,0,0,0,"Unsampled"
303,0,0,0,0,0,"Unsampled"
304,0,0,0,0,0,"Unsampled"
305,0,0,0,0,0,"Unsampled"
306,0,0,0,0,0,"Unsampled"
307,0,0,0,0,0,"Unsampled"
308,0,0,0,0,0,"Unsampled"
309,0,0,0,0,0,"Unsampled"
310,0,0,0,0,0,"Unsampled"
311,0,0,0,0,0,"Unsampled"
312,0,0,0,0,0,"Unsampled"
313,0,0,0,0,0,"Unsampled"
314,0,0,0,0,0,"Unsampled"
315,0,0,0,0,0,"Unsampled"
316,5,5,5,5,5,"Low"
317,0,0,0,0,0,"Unsampled"
318,0,0,0,0,0,"Unsampled"
319,1,2,1,1,1,"Low"
320,0,0,0,0,0,"Unsampled"
321,0,0,0,0,0,"Unsampled"
332,0,0,0,0,0,"Unsampled"
333,6,7,6,6,5,"Low"
334,0,0,0,0,0,"Unsampled"
335,0,0,0,0,0,"Unsampled"
336,0,0,0,0,0,"Unsampled"
337,0,0,0,0,0,"Unsampled"
338,0,0,0,0,0,"Unsampled"
339,0,0,0,0,0,"Unsampled"
340,0,0,0,0,0,"Unsampled"
341,0,0,0,0,0,"Unsampled"
342,0,0,0,0,0,"Unsampled"
343,0,0,0,0,0,"Unsampled"
344,0,0,0,0,0,"Unsampled"
345,0,0,0,0,0,"Unsampled"
346,0,0,0,0,0,"Unsampled"
347,0,0,0,0,0,"Unsampled"
348,0,0,0,0,0,"Unsampled"
349,0,0,0,0,0,"Unsampled"
350,0,0,0,0,0,"Unsampled"
351,0,0,0,0,0,"Unsampled"
352,3,3,3,3,3,"Low"
353,1,1,1,1,1,"Low"
354,0,0,0,0,0,"Unsampled"
355,0,0,0,0,0,"Unsampled"
364,0,0,0,0,0,"Unsampled"
365,3,3,3,3,3,"Low"
366,0,0,0,0,0,"Unsampled"
367,0,0,0,0,0,"Unsampled"
368,0,0,0,0,0,"Unsampled"
369,0,0,0,0,0,"Unsampled"
370,0,0,0,0,0,"Unsampled"
371,0,0,0,0,0,"Unsampled"
372,0,0,0,0,0,"Unsampled"
373,3,3,3,3,1,"Low"
374,8,9,6,7,2,"Low"
375,0,0,0,0,0,"Unsampled"
376,0,0,0,0,0,"Unsampled"
377,0,0,0,0,0,"Unsampled"
378,0,0,0,0,0,"Unsampled"
379,0,0,0,0,0,"Unsampled"
380,0,0,0,0,0,"Unsampled"
381,0,0,0,0,0,"Unsampled"
382,0,0,0,0,0,"Unsampled"
383,0,0,0,0,0,"Unsampled"
384,0,0,0,0,0,"Unsampled"
385,5,5,5,5,5,"Low"
386,6,7,6,6,6,"Low"
387,0,0,0,0,0,"Unsampled"
388,0,0,0,0,0,"Unsampled"
397,0,0,0,0,0,"Unsampled"
407,0,0,0,0,0,"Unsampled"
408,0,0,0,0,0,"Unsampled"
409,1,1,1,1,1,"Low"
410,0,0,0,0,0,"Unsampled"
411,0,0,0,0,0,"Unsampled"
412,0,0,0,0,0,"Unsampled"
413,0,0,0,0,0,"Unsampled"
414,1,1,1,1,1,"Low"
415,0,0,0,0,0,"Unsampled"
416,0,0,0,0,0,"Unsampled"
417,7,7,6,7,6,"Low"
418,10,10,10,10,8,"Medium"
419,9,10,7,8,7,"Medium"
420,5,5,4,5,4,"Low"
421,0,0,0,0,0,"Unsampled"
422,0,0,0,0,0,"Unsampled"
423,0,0,0,0,0,"Unsampled"
440,0,0,0,0,0,"Unsampled"
441,0,0,0,0,0,"Unsampled"
442,0,0,0,0,0,"Unsampled"
443,0,0,0,0,0,"Unsampled"
444,0,0,0,0,0,"Unsampled"
445,0,0,0,0,0,"Unsampled"
446,0,0,0,0,0,"Unsampled"
447,0,0,0,0,0,"Unsampled"
448,0,0,0,0,0,"Unsampled"
449,0,0,0,0,0,"Unsampled"
450,20,20,19,19,11,"Medium"
451,27,30,17,24,12,"Medium"
452,7,7,7,7,5,"Low"
453,0,0,0,0,0,"Unsampled"
454,1,1,1,1,1,"Low"
455,32,43,23,30,10,"Medium"
456,0,0,0,0,0,"Unsampled"
473,0,0,0,0,0,"Unsampled"
474,0,0,0,0,0,"Unsampled"
475,0,0,0,0,0,"Unsampled"
476,0,0,0,0,0,"Unsampled"
477,0,0,0,0,0,"Unsampled"
478,0,0,0,0,0,"Unsampled"
479,0,0,0,0,0,"Unsampled"
480,0,0,0,0,0,"Unsampled"
481,0,0,0,0,0,"Unsampled"
482,0,0,0,0,0,"Unsampled"
483,3,3,3,3,2,"Low"
484,0,0,0,0,0,"Unsampled"
485,0,0,0,0,0,"Unsampled"
486,0,0,0,0,0,"Unsampled"
487,1,1,1,1,1,"Low"
488,38,363,23,36,16,"Very High"
489,14,14,11,14,6,"Medium"
490,0,0,0,0,0,"Unsampled"
507,0,0,0,0,0,"Unsampled"
508,0,0,0,0,0,"Unsampled"
509,0,0,0,0,0,"Unsampled"
510,0,0,0,0,0,"Unsampled"
511,0,0,0,0,0,"Unsampled"
512,0,0,0,0,0,"Unsampled"
513,0,0,0,0,0,"Unsampled"
514,0,0,0,0,0,"Unsampled"
515,5,5,4,5,4,"Low"
516,0,0,0,0,0,"Unsampled"
517,0,0,0,0,0,"Unsampled"
518,4,4,4,4,2,"Low"
519,0,0,0,0,0,"Unsampled"
520,5,6,5,5,5,"Low"
521,0,0,0,0,0,"Unsampled"
522,64,138,52,62,29,"High"
523,69,114,40,60,19,"High"
543,0,0,0,0,0,"Unsampled"
544,0,0,0,0,0,"Unsampled"
545,0,0,0,0,0,"Unsampled"
546,0,0,0,0,0,"Unsampled"
547,0,0,0,0,0,"Unsampled"
548,0,0,0,0,0,"Unsampled"
549,1,1,1,1,1,"Low"
550,9,10,7,9,7,"Medium"
551,0,0,0,0,0,"Unsampled"
552,23,39,18,22,9,"Medium"
553,6,7,5,5,2,"Low"
554,7,9,7,7,6,"Low"
555,4,4,4,4,4,"Low"
556,0,0,0,0,0,"Unsampled"
557,1,1,1,1,1,"Low"
578,0,0,0,0,0,"Unsampled"
579,0,0,0,0,0,"Unsampled"
580,0,0,0,0,0,"Unsampled"
581,0,0,0,0,0,"Unsampled"
582,0,0,0,0,0,"Unsampled"
583,23,24,20,22,14,"Medium"
584,58,78,29,45,17,"High"
585,16,26,12,15,5,"Medium"
586,10,14,8,9,3,"Medium"
587,6,7,6,6,5,"Low"
588,1,1,1,1,1,"Low"
589,117,246,45,84,20,"Very High"
590,1,1,1,1,1,"Low"
612,0,0,0,0,0,"Unsampled"
613,0,0,0,0,0,"Unsampled"
614,0,0,0,0,0,"Unsampled"
615,0,0,0,0,0,"Unsampled"
616,10,13,9,10,4,"Medium"
617,64,118,31,51,13,"High"
618,59,70,33,47,19,"High"
619,5,5,5,5,5,"Low"
620,0,0,0,0,0,"Unsampled"
621,22,45,9,21,3,"Medium"
622,1,1,1,1,1,"Low"
646,0,0,0,0,0,"Unsampled"
647,0,0,0,0,0,"Unsampled"
648,0,0,0,0,0,"Unsampled"
649,0,0,0,0,0,"Unsampled"
650,28,28,18,24,8,"Medium"
651,58,99,31,47,14,"High"
652,264,1371,104,189,46,"Very High"
653,44,49,31,44,16,"Medium"
654,1,1,1,1,1,"Low"
679,0,0,0,0,0,"Unsampled"
680,0,0,0,0,0,"Unsampled"
681,0,0,0,0,0,"Unsampled"
682,105,134,61,89,31,"High"
683,32,93,20,27,10,"High"
684,27,29,17,21,8,"Medium"
685,116,296,61,94,28,"Very High"
686,63,94,35,50,19,"High"
687,1,1,1,1,1,"Low"
714,0,0,0,0,0,"Unsampled"
715,0,0,0,0,0,"Unsampled"
716,40,94,25,31,10,"High"
717,30,41,15,28,6,"Medium"
718,9,9,8,8,5,"Low"
719,31,43,20,28,14,"Medium"
720,3,4,2,3,1,"Low"
721,0,0,0,0,0,"Unsampled"
722,0,0,0,0,0,"Unsampled"
723,0,0,0,0,0,"Unsampled"
724,0,0,0,0,0,"Unsampled"
725,0,0,0,0,0,"Unsampled"
747,0,0,0,0,0,"Unsampled"
748,1,1,1,1,1,"Low"
749,22,33,16,22,11,"Medium"
750,59,87,40,53,25,"High"
751,11,14,10,11,9,"Medium"
752,0,0,0,0,0,"Unsampled"
753,1,1,1,1,1,"Low"
754,0,0,0,0,0,"Unsampled"
755,1,1,1,1,1,"Low"
756,1,2,1,1,1,"Low"
757,1,1,1,1,1,"Low"
758,0,0,0,0,0,"Unsampled"
759,0,0,0,0,0,"Unsampled"
781,0,0,0,0,0,"Unsampled"
782,0,0,0,0,0,"Unsampled"
783,6,9,6,6,6,"Low"
784,1,1,1,1,1,"Low"
785,0,0,0,0,0,"Unsampled"
786,0,0,0,0,0,"Unsampled"
787,0,0,0,0,0,"Unsampled"
788,0,0,0,0,0,"Unsampled"
789,1,1,1,1,1,"Low"
790,0,0,0,0,0,"Unsampled"
791,0,0,0,0,0,"Unsampled"
792,0,0,0,0,0,"Unsampled"
813,0,0,0,0,0,"Unsampled"
814,0,0,0,0,0,"Unsampled"
815,0,0,0,0,0,"Unsampled"
816,0,0,0,0,0,"Unsampled"
817,0,0,0,0,0,"Unsampled"
818,0,0,0,0,0,"Unsampled"
819,13,18,11,12,10,"Medium"
820,0,0,0,0,0,"Unsampled"
821,1,1,1,1,1,"Low"
822,0,0,0,0,0,"Unsampled"
823,0,0,0,0,0,"Unsampled"
824,0,0,0,0,0,"Unsampled"
847,0,0,0,0,0,"Unsampled"
848,0,0,0,0,0,"Unsampled"
849,0,0,0,0,0,"Unsampled"
850,0,0,0,0,0,"Unsampled"
851,0,0,0,0,0,"Unsampled"
852,1,1,1,1,1,"Low"
853,4,4,4,4,4,"Low"
854,9,11,8,9,7,"Medium"
855,0,0,0,0,0,"Unsampled"
856,0,0,0,0,0,"Unsampled"
882,0,0,0,0,0,"Unsampled"
883,0,0,0,0,0,"Unsampled"
884,0,0,0,0,0,"Unsampled"
885,0,0,0,0,0,"Unsampled"
886,0,0,0,0,0,"Unsampled"
887,3,4,3,3,3,"Low"
888,4,4,4,4,4,"Low"
